date,sku_id,category,unit_price,promo_flag,units_sold
2024-01-01,SKU-1001,Beverages,2.73,0,83
2024-01-02,SKU-1001,Beverages,2.73,0,92
2024-01-03,SKU-1001,Beverages,2.73,0,103
2024-01-04,SKU-1001,Beverages,2.73,0,101
2024-01-05,SKU-1001,Beverages,2.73,0,67
2024-01-06,SKU-1001,Beverages,2.73,0,74
2024-01-07,SKU-1001,Beverages,2.73,0,86
2024-01-08,SKU-1001,Beverages,2.73,0,88
2024-01-09,SKU-1001,Beverages,2.73,0,99
2024-01-10,SKU-1001,Beverages,2.73,0,105
2024-01-11,SKU-1001,Beverages,2.73,0,90
2024-01-12,SKU-1001,Beverages,2.73,0,68
2024-01-13,SKU-1001,Beverages,2.73,0,75
2024-01-14,SKU-1001,Beverages,2.73,0,88
2024-01-15,SKU-1001,Beverages,2.73,0,89
2024-01-16,SKU-1001,Beverages,2.73,0,101
2024-01-17,SKU-1001,Beverages,2.73,0,106
2024-01-18,SKU-1001,Beverages,2.73,0,92
2024-01-19,SKU-1001,Beverages,2.73,0,69
2024-01-20,SKU-1001,Beverages,2.73,0,76
